853810"2018902021"Repeat Offender"4021 9TH ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
829435"2017917357"Repeat Offender"7829 ALMA ST, BRIDGE CITY"8/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/09/2017"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/18/2017"
815796"2017912322"Repeat Offender"7829 ALMA ST, BRIDGE CITY"6/12/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/12/2017"ISIDORE FISHER"7829 ALMA ST"BRIDGE CITY"W"PROPERTY CUT BY PARISH CONTRACTOR"05/27/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/27/2017"
815806"2017912327"Repeat Offender"7800 ALMA ST, BRIDGE CITY"6/12/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/12/2017"HARBOR ESTATES"7800 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/27/2017"
791517"2017903016"Repeat Offender"7800 ALMA ST, BRIDGE CITY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"HARBOR ESTATES"7800 Block ALMA ST"BRIDGE CITY"W"COMMENT"08/01/2017"COMMENT"07/21/2017"LETTER RETURNED"07/08/2017"DEMAND LETTER"06/30/2017"COMMENT"06/26/2017"COMMENT"06/05/2017"MAIL CORRESPONDANCE"05/23/2017"MAIL CORRESPONDANCE"05/22/2017"COMMENT"05/09/2017"BILLED"04/19/2017"COMMENT"04/18/2017"COMMENT"03/31/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/27/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/27/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791270"2017903547"Repeat Offender"7829 ALMA ST, BRIDGE CITY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"COMMENT"08/25/2017"COMMENT"08/01/2017"COMMENT"07/21/2017"LETTER RETURNED"07/08/2017"DEMAND LETTER"06/30/2017"COMMENT"06/26/2017"COMMENT"06/05/2017"MAIL CORRESPONDANCE"05/23/2017"MAIL CORRESPONDANCE"05/22/2017"COMMENT"05/09/2017"BILLED"04/19/2017"COMMENT"04/18/2017"COMMENT"03/31/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/27/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
781543"2016925679"Repeat Offender"7800 ALMA ST, BRIDGE CITY"12/6/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"12/06/2016"HARBOR ESTATES"7800 ALMA ST"BRIDGE CITY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/20/2017"DEMAND LETTER"03/01/2017"
772685"2016922663"Repeat Offender"7829 ALMA ST, BRIDGE CITY"10/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/13/2016"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/21/2017"DEMAND LETTER"02/07/2017"
772577"2016922599"Repeat Offender"7800 ALMA ST, BRIDGE CITY"10/12/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/12/2016"HARBOR ESTATES"7800 ALMA ST"BRIDGE CITY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/13/2017"DEMAND LETTER"01/19/2017"
765375"2016919915"Repeat Offender"7829 ALMA ST, BRIDGE CITY"9/8/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/08/2016"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"08/23/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
761820"2016918623"Repeat Offender"7829 ALMA ST, BRIDGE CITY"8/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/22/2016"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/17/2017"DEMAND LETTER"01/06/2017"
756843"2016916721"Repeat Offender"7800 ALMA ST, BRIDGE CITY"7/29/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/29/2016"HARBOR ESTATES"7800 Block ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/06/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
753900"2016915435"Repeat Offender"7829 ALMA ST, BRIDGE CITY"7/18/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/18/2016"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/06/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
749453"2016913806"Repeat Offender"7800 ALMA ST, BRIDGE CITY"6/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/27/2016"HARBOR ESTATES"7800 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/16/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
749494"2016913818"Repeat Offender"7829 ALMA ST, BRIDGE CITY"6/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/27/2016"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/16/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
741272"2016910451"Repeat Offender"7829 ALMA ST, BRIDGE CITY"5/19/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/19/2016"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/07/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
720386"2016902380"Repeat Offender"7829 ALMA ST, BRIDGE CITY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"HARBOR ESTATES"7829 ALMA ST"BRIDGE CITY"W"COMMENT"08/04/2016"COMMENT"07/15/2016"MAIL CORRESPONDANCE"07/06/2016"COMMENT"06/20/2016"COMMENT"06/17/2016"COMMENT"05/13/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/19/2016"BILLED"04/14/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/24/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/24/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
854127"2018901730"Repeat Offender"212 AMAPOLA CIR, TERRYTOWN"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"TERRYTOWN"212 AMAPOLA CIR"TERRYTOWN"W"
854349"2018901741"Repeat Offender"3625 AMES BLVD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"ST JUDE"3625 AMES BLVD"MARRERO"W"
854235"2018902009"Repeat Offender"1201 AMES BLVD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"
854048"2018902061"Repeat Offender"1309 AMES BLVD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"TOWNSITE #3"1309 AMES BLVD"MARRERO"W"
854323"2018902226"Repeat Offender"4008 AMES BLVD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AUBREY PLACE"4008 AMES BLVD"MARRERO"W"
842858"2017922206"Repeat Offender"3625 AMES BLVD, MARRERO"10/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/09/2017"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"09/15/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/15/2017"
834053"2017919091"Repeat Offender"1309 AMES BLVD, MARRERO"8/29/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/29/2017"TOWNSITE #3"1309 AMES BLVD"MARRERO"W"
832782"2017918692"Repeat Offender"3625 AMES BLVD, MARRERO"8/23/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/23/2017"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"08/01/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"08/01/2017"
830600"2017917884"Repeat Offender"1309 AMES BLVD, MARRERO"8/14/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/14/2017"TOWNSITE #3"1309 AMES BLVD"MARRERO"W"
827470"2017916645"Repeat Offender"3625 AMES BLVD, MARRERO"8/1/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/01/2017"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"07/13/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/13/2017"
824879"2017915672"Repeat Offender"1201 AMES BLVD, MARRERO"7/20/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/20/2017"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"
824610"2017915543"Repeat Offender"1309 AMES BLVD, MARRERO"7/19/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/19/2017"TOWNSITE #3"1309 AMES BLVD"MARRERO"W"
820126"2017913900"Repeat Offender"1309 AMES BLVD, MARRERO"6/29/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/29/2017"TOWNSITE #3"1309 AMES BLVD"MARRERO"W"
819879"2017913786"Repeat Offender"3625 AMES BLVD, MARRERO"6/28/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/28/2017"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/09/2017"
814349"2017911804"Repeat Offender"1309 AMES BLVD, MARRERO"6/6/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/06/2017"TOWNSITE #3"1309 AMES BLVD"MARRERO"W"
806605"2017908881"Repeat Offender"4143 AMES BLVD, MARRERO"4/27/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/27/2017"AMES FARMS"4143 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"04/12/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/12/2017"
805420"2017908409"Repeat Offender"3625 AMES BLVD, MARRERO"4/21/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/21/2017"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"04/06/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/06/2017"
791065"2017903164"Repeat Offender"1201 AMES BLVD, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791701"2017903557"Repeat Offender"1309 AMES BLVD, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"TOWNSITE #3"1309 AMES BLVD"MARRERO"W"DEMAND LETTER"06/26/2017"COMMENT"06/13/2017"COMMENT"05/26/2017"COMMENT"04/25/2017"COMMENT"04/17/2017"BILLED"04/13/2017"COMMENT"03/23/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/22/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791774"2017903628"Repeat Offender"3625 AMES BLVD, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"ST JUDE"3625 AMES BLVD"MARRERO"W"COMMENT"08/07/2017"COMMENT"07/14/2017"COMMENT"06/12/2017"LETTER RETURNED"06/06/2017"DEMAND LETTER"05/30/2017"DEMAND LETTER"05/30/2017"COMMENT"05/17/2017"COMMENT"04/28/2017"COMMENT"04/17/2017"BILLED"03/29/2017"COMMENT"03/13/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/08/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791024"2017903825"Repeat Offender"4143 AMES BLVD, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"AMES FARMS"4143 AMES BLVD"MARRERO"W"COMMENT"05/17/2017"COMMENT"04/28/2017"COMMENT"04/17/2017"BILLED"03/29/2017"COMMENT"03/13/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/10/2017"MAIL CORRESPONDANCE"03/10/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791729"2017903850"Repeat Offender"1950 AMES BLVD, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"ORLEANS VILLAGE"1900 Block AMES BLVD"MARRERO"W"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
776723"2016924128"Repeat Offender"1201 AMES BLVD, MARRERO"11/3/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"11/03/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"DEMAND LETTER"03/01/2017"
776520"2016924023"Repeat Offender"4143 AMES BLVD, MARRERO"11/2/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"11/02/2016"AMES FARMS"4143 AMES BLVD"MARRERO"W"LIEN RELEASED"03/01/2017"COMMENT"01/13/2017"FEES PAID"01/13/2017"BILL PAID"01/13/2017"PAYMENT RECEIVED"01/13/2017"
772309"2016922488"Repeat Offender"3625 AMES BLVD, MARRERO"10/11/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/11/2016"ST JUDE"3625 AMES BLVD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/21/2017"DEMAND LETTER"01/19/2017"DEMAND LETTER"01/19/2017"
769673"2016921567"Repeat Offender"4143 AMES BLVD, MARRERO"9/27/2016"WEEDS, VACANT HOUSE"PMZ - WEED CONTROL"09/27/2016"AMES FARMS"4143 AMES BLVD"MARRERO"W"LIEN RELEASED"01/24/2017"COMMENT"01/13/2017"FEES PAID"01/13/2017"BILL PAID"01/13/2017"PAYMENT RECEIVED"01/13/2017"
767217"2016920670"Repeat Offender"3625 AMES BLVD, MARRERO"9/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/15/2016"ST JUDE"3625 AMES BLVD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/21/2017"DEMAND LETTER"01/10/2017"DEMAND LETTER"01/10/2017"
767224"2016920674"Repeat Offender"4143 AMES BLVD, MARRERO"9/15/2016"WEEDS, VACANT HOUSE"PMZ - WEED CONTROL"09/15/2016"AMES FARMS"4143 AMES BLVD"MARRERO"W"LIEN RELEASED"01/24/2017"COMMENT"01/13/2017"FEES PAID"01/13/2017"BILL PAID"01/13/2017"PAYMENT RECEIVED"01/13/2017"
766572"2016920379"Repeat Offender"1201 AMES BLVD, MARRERO"9/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/13/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"DEMAND LETTER"01/10/2017"
763373"2016919261"Repeat Offender"1201 AMES BLVD, MARRERO"8/29/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/29/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"DEMAND LETTER"01/27/2017"
758775"2016917488"Repeat Offender"1201 AMES BLVD, MARRERO"8/8/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/08/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
757888"2016917135"Repeat Offender"3625 AMES BLVD, MARRERO"8/3/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/03/2016"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"07/23/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/23/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
757921"2016917149"Repeat Offender"4143 AMES BLVD, MARRERO"8/3/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/03/2016"AMES FARMS"4143 AMES BLVD"MARRERO"W"COMPLAINT RECEIVED"08/03/2016"PROPERTY CUT BY PARISH CONTRACTOR"07/23/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/23/2016"LIEN RELEASED"03/01/2017"COMMENT"02/13/2017"
755647"2016916236"Repeat Offender"3625 AMES BLVD, MARRERO"7/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/26/2016"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"06/28/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/28/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
755119"2016915967"Repeat Offender"1201 AMES BLVD, MARRERO"7/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/22/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
747453"2016912973"Repeat Offender"3625 AMES BLVD, MARRERO"6/17/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/17/2016"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/07/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
747167"2016912835"Repeat Offender"4143 AMES BLVD, MARRERO"6/16/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/16/2016"AMES FARMS"4143 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"06/06/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/06/2016"
741832"2016910671"Repeat Offender"1201 AMES BLVD, MARRERO"5/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/23/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
739389"2016909739"Repeat Offender"3625 AMES BLVD, MARRERO"5/11/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/11/2016"ST JUDE"3625 AMES BLVD"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"04/30/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/30/2016"
739392"2016909740"Repeat Offender"4143 AMES BLVD, MARRERO"5/11/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/11/2016"AMES FARMS"4143 AMES BLVD"MARRERO"W"COMPLAINT RECEIVED"05/11/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/30/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/30/2016"
737917"2016909042"Repeat Offender"1201 AMES BLVD, MARRERO"5/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/04/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"
720519"2016902214"Repeat Offender"1201 AMES BLVD, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"AMES FARM TOWNSITE #3"1201 AMES BLVD"MARRERO"W"DEMAND LETTER"07/14/2016"COMMENT"07/01/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/28/2016"COMMENT"04/19/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/31/2016"COMMENT"02/22/2016"INSPECTION COMPLETED/DATE"02/19/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720244"2016902361"Repeat Offender"3625 AMES BLVD, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"ST JUDE"3625 AMES BLVD"MARRERO"W"DEMAND LETTER"08/12/2016"COMMENT"07/26/2016"COMMENT 2"07/07/2016"COMMENT"07/07/2016"MAIL CORRESPONDANCE"07/07/2016"MAIL CORRESPONDANCE"07/06/2016"COMMENT"07/01/2016"COMMENT"06/22/2016"COMMENT"06/09/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/28/2016"COMMENT"04/19/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/04/2016"COMMENT"03/21/2017"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"OWNER NOTICE - WEEDS & TRASH"02/10/2016"OWNER NOTICE - WEEDS & TRASH"02/10/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720308"2016902733"Repeat Offender"4143 AMES BLVD, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"AMES FARMS"4143 AMES BLVD"MARRERO"W"LIEN RELEASED"07/20/2016"COMMENT"07/13/2016"MAIL CORRESPONDANCE"07/07/2016"COMMENT"07/01/2016"COMMENT"06/22/2016"LIEN RELEASED"06/14/2016"COMMENT 2"06/08/2016"FEES PAID"06/08/2016"BILL PAID"06/08/2016"PAYMENT RECEIVED"06/08/2016"COMMENT"06/08/2016"COMMENT"04/12/2016"BILLED"04/08/2016"COMMENT"03/24/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/23/2016"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
819833"2017913768"Repeat Offender"5955 ANDERSON PL, MARRERO"6/28/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/28/2017"ANDERSON PLACE"5955 ANDERSON PL"MARRERO"W"COMPLAINT ENTERED/DATE"06/28/2017"COMPLAINT RECEIVED"06/28/2017"PROPERTY CUT BY PARISH CONTRACTOR"06/09/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/09/2017"
791751"2017903158"Repeat Offender"5955 ANDERSON PL, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"ANDERSON PLACE"5955 ANDERSON PL"MARRERO"W"PAYMENT RECEIVED"09/21/2017"COMMENT"09/13/2017"BILLED"09/06/2017"COMMENT"08/22/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/29/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/29/2017"COMMENT"07/11/2017"COMMENT"06/12/2017"COMMENT"05/17/2017"COMMENT"04/28/2017"COMMENT"04/06/2017"COMMENT"03/13/2017"COMMENT"02/23/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
783554"2016926417"Repeat Offender"5955 ANDERSON PL, MARRERO"12/20/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"12/20/2016"ANDERSON PLACE"5955 ANDERSON PL"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"09/14/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/14/2016"
